,0,1,2
239,1,1,1
240,0,0,1
241,0,0,1
242,0,0,0
243,1,0,0
244,1,1,0
245,1,1,1
246,1,0,1
247,1,1,1
248,0,0,0
249,0,0,1
250,0,0,1
251,1,0,0
252,1,1,0
253,1,1,1
254,1,1,1
255,1,0,1
256,0,0,0
257,0,0,1
258,0,0,1
259,1,0,0
260,1,1,0
261,1,1,1
262,1,1,0
263,1,1,0
264,0,0,1
265,0,0,1
266,0,0,0
267,1,0,0
268,1,1,0
269,1,1,1
270,1,1,0
271,1,1,0
272,0,0,1
273,0,0,1
274,0,0,0
275,1,0,0
276,1,1,0
277,1,1,1
278,1,0,1
279,1,1,0
280,0,0,1
281,0,0,0
282,0,0,1
283,1,0,0
284,1,1,0
285,1,1,1
286,1,1,0
287,1,0,1
288,0,0,0
289,0,0,1
290,0,0,1
291,0,0,0
292,1,1,0
293,1,1,1
294,1,1,1
295,1,1,0
296,0,0,1
297,0,0,0
298,0,0,1
299,0,0,0
300,1,1,0
301,1,1,1
302,1,1,0
303,1,1,1
304,0,0,0
305,0,0,1
306,0,0,1
307,0,0,0
308,1,1,0
309,1,1,1
310,1,0,0
311,1,1,0
312,0,0,0
313,0,0,0
314,0,0,1
315,0,0,1
316,1,1,0
317,1,1,1
318,1,1,0
319,1,0,0
320,0,0,1
321,0,0,0
322,0,0,1
323,0,0,0
324,1,1,0
325,1,1,1
326,1,0,0
327,1,1,1
328,0,0,0
329,0,0,0
330,0,0,1
331,0,0,1
332,1,1,0
333,1,1,1
334,1,1,1
335,1,0,0
336,0,0,0
337,0,0,1
338,0,0,0
339,0,0,1
340,1,1,0
341,1,1,1
342,1,1,1
343,1,1,0
344,0,0,1
345,0,0,0
346,0,0,0
347,0,0,1
348,1,1,0
349,1,1,1
350,1,1,0
351,1,1,1
352,0,0,0
353,0,0,1
354,0,0,0
355,0,0,1
356,1,1,0
357,1,1,1
358,1,0,1
359,1,1,0
360,0,0,0
361,0,0,0
362,0,0,1
363,0,0,1
364,1,1,0
365,1,1,1
366,1,1,0
367,1,0,1
368,0,0,1
369,0,0,0
370,0,0,0
371,0,0,1
372,1,1,0
373,1,1,1
374,1,0,1
375,1,1,1
376,0,0,0
377,0,0,0
378,0,0,1
379,0,0,1
380,1,1,0
381,1,1,1
382,1,1,1
383,1,0,1
384,0,0,1
385,0,0,1
386,0,0,0
387,0,0,0
388,1,1,0
389,1,1,1
390,1,0,0
391,1,1,0
392,0,0,1
393,0,0,0
394,0,0,0
395,0,0,1
396,1,1,0
397,1,1,1
398,1,1,0
399,1,0,0
400,0,0,1
401,0,0,1
402,0,0,0
403,0,0,0
404,1,1,0
405,1,1,1
406,1,0,1
407,1,1,0
408,0,0,1
409,0,0,0
410,0,0,1
411,0,0,0
412,1,1,0
413,1,1,1
414,1,1,0
415,1,0,1
416,0,0,1
417,0,0,0
418,0,0,0
419,0,0,1
420,1,1,0
421,1,1,1
422,1,0,1
423,1,0,0
424,0,0,1
425,0,0,0
426,0,0,1
427,0,0,0
428,1,1,0
429,1,1,1
430,1,0,0
431,1,0,1
432,0,0,1
433,0,0,1
434,0,0,0
435,0,0,0
436,1,1,0
437,1,1,1
438,1,0,0
439,1,1,1
440,0,0,0
441,0,0,1
442,0,0,0
443,0,0,1
444,1,1,0
445,1,1,1
446,1,1,1
447,1,0,0
448,0,0,1
449,0,0,1
450,0,0,0
451,0,0,0
452,1,1,0
453,1,1,1
454,1,0,1
455,1,1,1
456,0,0,0
457,0,0,1
458,0,0,1
459,0,0,0
460,1,1,0
461,1,1,1
462,1,1,1
463,1,0,1
464,0,0,0
465,0,0,1
466,0,0,0
467,0,0,1
468,1,1,0
469,1,1,1
470,1,0,1
471,1,0,0
472,0,0,0
473,0,0,1
474,0,0,1
475,0,0,0
476,1,1,0
477,1,1,1
478,1,0,0
479,1,0,1
480,0,0,1
481,1,1,0
482,0,0,1
483,0,0,0
484,1,1,0
485,1,1,1
486,1,1,1
487,1,1,1
488,0,0,1
489,1,1,0
490,0,0,1
491,0,0,0
492,1,1,0
493,1,1,1
494,1,0,0
495,1,1,1
496,0,0,0
497,1,1,0
498,0,0,1
499,0,0,1
500,1,1,0
501,1,1,1
502,1,1,1
503,1,0,0
504,0,0,1
505,1,1,0
506,0,0,0
507,0,0,1
508,1,1,0
509,1,1,1
510,1,1,1
