,0,1,2
939,-16,8,16
940,-16,0,0
941,0,0,0
942,-16,-8,0
943,0,0,8
944,-16,0,16
945,-16,-8,0
946,-16,16,-8
947,-16,8,16
948,-16,8,0
949,0,16,0
950,-16,-8,16
951,-16,8,0
952,0,0,0
953,-16,-8,8
954,-16,0,16
955,0,0,16
956,-16,-16,8
957,-16,8,0
958,-16,-8,0
959,0,8,8
960,-16,16,16
961,-16,8,0
962,-16,8,16
963,-16,0,0
964,-16,0,8
965,-16,-8,0
966,-16,0,16
967,-16,16,32
968,-16,8,0
969,-16,0,8
970,-16,8,16
971,-16,8,0
972,-16,0,8
973,-16,-8,0
974,-16,8,0
975,-16,0,8
976,-16,-8,-8
977,-16,0,16
978,-16,0,32
979,-16,0,8
980,-16,-8,16
981,-16,-8,0
982,-16,-8,16
983,-32,16,16
984,-32,8,0
985,-16,0,0
986,-32,0,8
987,-32,-8,8
988,-16,0,-8
989,-32,-8,0
990,-16,0,8
991,-16,0,0
992,-32,-8,0
993,-16,0,16
994,-16,0,16
995,-32,0,0
996,-16,0,8
997,-32,-16,8
998,-16,0,0
999,-32,0,32
1000,-32,0,8
1001,-16,0,0
1002,-32,-16,8
1003,-32,16,0
1004,-16,0,0
1005,-32,-8,16
1006,-16,16,8
1007,-16,0,8
1008,-32,-8,16
1009,-16,-8,8
1010,-16,-8,32
1011,-32,0,8
1012,-32,-8,16
1013,-16,0,16
1014,-32,-16,0
1015,-32,8,8
1016,-16,0,16
1017,-32,-8,0
1018,-16,8,16
1019,-16,-8,16
1020,-32,-8,0
1021,-16,-8,0
1022,-16,-8,16
1023,-8,8,16
1024,-8,8,0
1025,-8,8,16
1026,-8,0,0
1027,-8,8,16
1028,-8,-8,16
1029,-8,8,16
1030,-16,0,8
1031,-16,-8,0
1032,-16,8,8
1033,-16,0,0
1034,0,0,0
1035,-16,-8,8
1036,0,0,0
1037,-16,0,16
1038,-16,-8,0
1039,-16,16,16
1040,-16,8,16
1041,-16,8,0
1042,0,16,0
1043,-16,-8,16
1044,-16,8,16
1045,0,0,0
1046,-16,-8,0
1047,-16,0,16
1048,0,0,0
1049,-16,-16,16
1050,-16,16,16
1051,-16,-8,16
1052,0,16,0
1053,-16,16,8
1054,-16,8,0
1055,-16,8,8
1056,-16,0,0
1057,-16,0,8
1058,-16,-8,8
1059,-16,0,8
1060,-16,16,0
1061,-16,8,-16
1062,-16,0,0
1063,-16,8,0
1064,-16,8,-16
1065,-16,0,0
1066,-16,-8,0
1067,-16,8,0
1068,-16,0,0
1069,-16,-8,-16
1070,-16,0,0
1071,-16,0,0
1072,-16,0,0
1073,-16,0,0
1074,-16,-8,0
1075,-16,0,0
1076,-32,16,8
1077,-32,8,0
1078,-16,0,0
1079,-32,0,8
1080,-32,-8,0
1081,-16,0,8
1082,-32,-8,8
1083,-16,0,0
1084,-16,0,8
1085,-32,-8,0
