,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
58,2,8,2,8,2,2,8,8,8,3,2,8,2,1,8,8,8,8,8,1,2,3,8,2
59,2,8,2,8,2,2,8,8,8,3,2,8,2,1,8,8,8,8,8,1,2,3,8,2
60,2,8,2,8,2,2,8,8,8,1,2,8,2,3,8,8,8,8,8,3,2,1,8,2
61,2,8,2,8,2,2,8,8,8,1,2,8,2,3,8,8,8,8,8,3,2,1,8,2
62,2,8,2,8,4,2,8,8,8,1,4,8,2,1,8,8,8,8,8,1,2,1,8,2
63,2,8,2,8,4,2,8,8,8,1,4,8,2,1,8,8,8,8,8,1,2,1,8,2
64,2,8,4,8,2,4,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
65,2,8,4,8,2,4,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
66,4,8,2,8,2,2,8,8,8,1,2,8,4,3,8,8,8,8,8,3,2,1,8,2
67,4,8,2,8,2,2,8,8,8,1,2,8,4,3,8,8,8,8,8,3,2,1,8,2
68,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
69,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
70,2,8,4,8,2,4,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
71,2,8,4,8,2,4,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
72,2,2,8,8,8,8,1,2,2,1,8,2,2,1,8,8,8,8,1,1,2,1,8,2
73,2,2,8,8,8,8,1,2,2,1,8,2,2,1,8,8,8,8,1,1,2,1,8,2
74,2,2,8,8,8,8,3,2,2,1,8,2,2,1,8,8,8,8,3,1,2,1,8,2
75,2,2,8,8,8,8,3,2,2,1,8,2,2,1,8,8,8,8,3,1,2,1,8,2
76,4,2,8,8,8,8,1,2,2,1,8,2,4,1,8,8,8,8,1,1,2,1,8,2
77,4,2,8,8,8,8,1,2,2,1,8,2,4,1,8,8,8,8,1,1,2,1,8,2
78,2,2,8,8,8,8,1,2,2,3,8,2,2,3,8,8,8,8,1,3,2,3,8,2
79,2,2,8,8,8,8,1,2,2,3,8,2,2,3,8,8,8,8,1,3,2,3,8,2
80,2,2,8,8,8,8,3,2,4,3,8,4,2,1,8,8,8,8,3,1,2,3,8,2
81,2,2,8,8,8,8,3,2,4,3,8,4,2,1,8,8,8,8,3,1,2,3,8,2
82,2,2,8,8,8,8,1,2,2,3,8,2,2,1,8,8,8,8,1,1,2,3,8,2
